Publication,Year,Month,Last Name (1st Author),Frequency (GHz),Psat (dBm),PAEmax (%),P1dB (dBm),PAE_1dB (%),Gain (dB)
ISSCC,2015,,Ye,5.8,20.2,19,,,
ISSCC,2016,,Winoto,5.8,27,,,,
ISSCC,2017,,Chee,5.8,29,,,,12.5
MWCL,2017,12,Huang,5.8,14,31.5,10,17.5,16.4
IMS,2018,,Jung,5.8,27.2,24.5,,,
TMTT,2019,,Jung,5.8,27.2,24.5,,,24*
RFIC,2015,,Chung,5.9,26,,,,
RFIC,2016,,Hu,5.9,22.2,49.2(DE),,,
MWCL,2020,1,Lindstrand,5.9,,,,,19.4
TMTT,2020,9,Liu,5.9,22.4,28.2,,,11.9
MWCL,2012,,Sapawi,6,7,,,,11.48
RFIC,2020,,Zheng,6,,,,,
IMS,2018,,Gao,7,21,19,,,17.1
TCASII,2019,4,Mosalam,7,10,26,9,,11.5
RFIC,2015,,Kim,7.4,6,,4.2,,9.8
JSSC,2010,12,Wang,8,25.2,21.6,22.6,15,18
ISSCC,2010,,Wang,8,25.2,21.6,22.6,15.2,
IMS,2012,,Lu,8,,,16,23,
RFIC,2017,,Ko,8,21.2,12.2(DE),20,10,7.5
RFIC,2014,,Choi,8.4,24.8,27.2,22.9,17.3,25.9
MWCL,2017,,Tsai,9,27.1,22.7,24.2,,11.2
MWCL,2017,,Tsai,9,27.1,22.7,24.2,11.2,
TMTT,2017,12,Tarar,9,17,10,15,7,10
MWCL,2018,7,Ko,9,21.5,10.7,,,
MWCL,2019,3,Trinh,9,20.5,24.5,15.2,24.6,24.4
TMTT,2011,6,Ku,9.5,21.5,20.3,20.2,14.8,25.3
ISSCC,2004,,Kim,10,14,,10,,11
IMS,2017,,Tarar,10,17,10,14,,10
RFIC,2017,,Bohn,10,23,37,,,
ISSCC,2019,,Li,10,,,21,30.3,
JSSC,2020,6,Li,10,21.4(TX),22.3(TX),21(TX),20.3(TX),
IEEE Access,2020,4,Nam,10,15.18,,11.84,,
IEEE Access,2021,1,Trinh,10,25.1,25.4,22,16,25.9
MWCL,2013,,Chen,12,22.5,19.2,,,9
TCASI,2021,5,Zhong,14.6,14.5,24.1,20,12,21.9
ISSCC,2012,,Sarkas,15,22.5,24.2,,,
MWCL,2017,,Chen,15,13.9,20,11.6,,20.6
TMTT,2018,3,Rostomyan,15,25.7,31.2,23,30,23
JSSC,2021,2,Celik,15,16.4,17.2,12.9,8,11
MWCL,2017,,Chen,15.5,13.9,20,11.6,,20.65
JSSC,2020,Early access,Celik,17,16,15,12.5,7,10
JSSC,2013,11,Chen,18,26.1,11,22.5,,
JSSC,2013,11,Chen,18,23.7,17.5,19.2,,
JSSC,2013,11,Chen,18,21.7,20.5,18.5,,
RFIC,2014,,Chen,18,15.9,41.4,13.3,30.5,11.8
RFIC,2014,6,Chen,18,15.9,41.4,13.3,28,11.8
RFIC,2014,6,Chen,18,15,43.7,11.3,26,11.8
RFIC,2014,6,Chen,18,12.8,39.1,8.9,30,10
SiRF,2014,1,Helmi,18,27,11.8,24.5,,
SiRF,2014,1,Helmi,18,26.5,13.8,23.4,,
SiRF,2014,1,Helmi,18,24.3,17.8,22.5,,
RFIC,2011,,Kawano,19,23.8,25.1,19,18,22
RFIC,2011,6,Kawano,19,23.8,25.1,,,22
JSSC,2005,2,Ellinger,20,12.5,13.5,,,8.1
APMC,2008,12,Kawano,20,20,18,,,
RFIC,2010,,Hung,20,20,9,16,6,21
RFIC,2010,6,Hung ,20,20.1,9.3,16.2,3.9,22.5
APMC,2011,11,Hsu,20,18.1,18.9,16.8,15.5,20
IMS,2016,,Kao,20,15.6,13,,,11.9
IMS,2016,5,Kao,20,15.6,13,14.3,11,11.9
WMCS,2020,5,Mayeda,20,18.1,36.6,,,
MWCL,2010,7,Lee,21,19,12.4,,,19.5
EuMC,2014,10,Liu,21,20.4,17.3,18.5,17.3,26.9
MWCL,2016,11,Chen,21,20.3,24.1,17.2,12,26.2
IMS,2011,6,Kuo,22,17.4,12,15.4,12,11.9
TMTT,2013,12,Kao,23,19.8,17.5,17.5,13.6,10.2
IMS,2015,5,Huang,23,18,15,15.8,14.1,12.8
RFIT,2016,8,Chen,23,15.7,14.2,11.1,6.8,17.1
RFIT,2016,8,Chen,23,15.7,14.2,14.1,12.1,13.9
MWCL,2019,12,Chang,23,22.9,24.2,22.5,22.5,10.3
MWCL,2015,7,Yeh,23.5,23.9,19.3,,,10.2
CICC,2004,10,Komijani,24,14.5,9,11,,7
JSSC,2005,8,Komijani,24,14.5,9,11,,7
JSSC,2005,12,Natarajan,24,14,6.5,11,,
EuMC,2008,10,Kuo,24,19.1,15.6,13.3,5,18.8
MOC,2008,11,Portela,24,17.5,22.5,13.6,12.3,16.2
MWCL,2009,1,Jen,24,16.8,10.7,14.3,6,16.3
RFIT,2009,12,Joshin,24,20.7,9.5,,,20.3
IMS,2010,6,Huang,24,22,20,20,15,8
IMS,2012,6,Kuo,24,19,24.7,15.7,15,19
RFIC,2012,6,Hung ,24,18,29,,,
APMC,2012,12,Koo,24,16,17.7,13.3,15.6,15.6
APMC,2013,11,Kuo,24,23.5,12,17,1,15
APMC,2014,11,Tsai,24,15.8,14,13.9,14,9
RFIT,2014,8,He,24,15,18,13.1,,20
IMS,2015,5,Chen,24,16.6,,14.6,12.6,
APMC,2015,12,Alsuraisry,24,21.7,16.7,18.9,,11.5
MWSCAS,2016,10,Mosalam,24,13.5,18,10.5,,10.2
TMTT,2016,7,Helmi,24,25.3,20,23.8,,13
TMTT,2016,7,Helmi,24,22.3,22.5,21.8,,9.9
WMCS,2017,3,Li,24,16.2,41.5,14.2,37.4,13.1
WMCS,2017,3,Li,24,16.2,41.5,14.2,37.4,13.1
IMS,2017,6,Lin,24,24.4,28,21.7,,14.1
APMC,2017,11,Hsieh,24,17.6,11.8,12.4,,9.9
ICACT,2017,2,Kim,24,13.5,7.2,,,19.6
TMTT,2018,5,Ali,24,14.7,42.6,13.9,40.5,9.1
IMS,2018,6,Chen,24,14.5,33.5,,,21.5
RFIC,2018,6,Huang,24,25.6,32.8,23.6,,17.4
TMTT,2019,7,Huang,24,25.6,32.8,23.6,,17.4
ISSCC,2020,2,Wang,24,20,38.9,19.6,38.9,20.5
TCAS II,2021,3,Lee,24,19.7,34.5,18.2,32.1,21.2
IMS,2021,6,Mohamed Esmael,24,16.8,41,15.5,,10
IMS,2021,6,Mohamed Esmael,24,16.8,41,15.5,,10
KJMW,2007,11,Kawano,25,16,6,,,5
ISSCC,2019,2,El-Aassar,25,20.5,10.8,19.5,9.1,
ISSCC,2019,2,El-Aassar,25,20.5,10.8,19.5,9.1,23
JSSC,2019,12,El-Aassar,25,20.5,10.8,19.5,9.1,
CICC,2021,4,Zhang,25.5,18.1,40.5,,,24
CICC,2021,4,Zhang,25.5,18.1,40.5,,,24
Electron. Lett.,2005,11,Vasylyev,25.7,13,13.2,,,8.4
MWCL,2013,12,Kuo,26,19.5,10.2,16,,15.2
PAWR,2021,1,Alluri,26,23,34,17,30,16
ISSCC,2021,1,Tzu-Yuan,26,20.8,23.3,,,11
TCAS II,2021,3,Lee,26,20.3,33.1,18.2,30,21.2
PAWR,2018,1,Rostomyan,26.5,17.8,40.7,16,,10.3
IMS,2021,6,Lee,26.5,20.2,33.6,18.7,,13
PAWR,2018,1,Rostomyan,26.75,18.9,40.5,17.6,,12
TMTT,2005,2,Shigematsu,27,14,6.7,,,17
MWCL,2008,11,Lee,27,14.5,13.2,13.5,10,14.5
MWCL,2008,11,Lee,27,14.5,13.2,13.5,10,14.5
ISSCC,2017,2,Shakib,27,15.1,33.7,13.7,31.1,22.4
ISSCC,2017,2,Shakib,27,15.1,33.7,13.7,31.1,22.4
ISSCC,2017,2,Shakib,27,15.1,33.7,13.7,31.1,22.4
ISSCC,2017,2,Shakib,27,15.1,33.7,13.7,31.1,22.4
ISSCC,2017,2,Shakib,27,15.1,33.7,13.7,31.1,22.4
ISSCC,2017,2,Shakib,27,15.1,33.7,13.7,31.1,22.4
ISSCC,2017,2,Shakib,27,15.1,33.7,13.7,31.1,22.4
ISSCC,2017,2,Shakib,27,15.1,33.7,13.7,31.1,22.4
ISSCC,2017,2,Shakib,27,15.1,33.7,13.7,31.1,22.4
ISSCC,2017,2,Shakib,27,15.1,33.7,13.7,31.1,22.4
ISSCC,2017,2,Shakib,27,15.1,33.7,13.7,31.1,22.4
ISSCC,2017,2,Shakib,27,15.1,33.7,13.7,31.1,22.4
ISSCC,2017,2,Shakib,27,15.1,33.7,13.7,31.1,22.4
ISSCC,2017,2,Shakib,27,15.1,33.7,13.7,31.1,22.4
ISSCC,2017,2,Shakib,27,15.1,33.7,13.7,31.1,22.4
ISSCC,2017,2,Shakib,27,15.1,33.7,13.7,31.1,22.4
ISSCC,2017,2,Shakib,27,15.1,33.7,13.7,31.1,22.4
ISSCC,2017,2,Shakib,27,15.1,33.7,13.7,31.1,22.4
RFIC,2017,6,Zhang,27,18.1,41.5,16.8,37.6,20.5
RFIC,2017,6,Zhang,27,18.1,41.5,16.8,37.6,20.5
RFIC,2017,6,Zhang,27,18.1,41.5,16.8,37.6,20.5
ISSCC,2019,2,Wang,27,23.3,40.1,22.4,39.4,19.1
JSSC,2019,12,Wang,27,23.3,40.1,22.4,39.4,19.1
ISSCC,2019,2,Wang,27,23.3,40.1,22.4,39.4,19.1
JSSC,2019,12,Wang,27,23.3,40.1,22.4,39.4,19.1
RFIC,2019,6,Elgaard,27,17.4,19.5,16.5,17.3,
IMS,2019,6,Chiang,27,17.9,40.7,14.7,,13.1
MWCL,2020,5,Choi,27,17.3,31,15.2,,29.1
RFIC,2012,7,Bowers,28,16,7.2,12.5,,21.5
IMS,2016,5,Park,28,14.8,36.5,14,35.2,10
IMS,2016,5,Park,28,19.8,43.3,18.6,41.4,13.6
TMTT,2016,7,Helmi,28,24.6,15,23,12.5,17.3
EDSSC,2017,10,Sato,28,,,19.2,39,11.3
LASCAS,2017,2,Moret,28,18.7,12.4,15.4,9,17.5
NEWCAS,2017,6,Hanna,28,16.3,39,,,18
ICM,2017,12,Ayoub,28,,26.5,13,,7.8
ICM,2017,12,Ayoub,28,,26.8,14.5,,7
ICM,2017,12,Ayoub,28,,32,14,,8.7
ICM,2017,12,Ayoub,28,,36.2,15.1,,8.1
TMTT,2018,5,Ali,28,14.4,40.1,13.6,37.2,8.9
MWCL,2018,3,Rostomyan,28,22.4,40,21.5,40,10
ISSCC,2018,2,Ali,28,15.6,41,13.5,34.7,15.8
MWCL,2018,3,Rostomyan,28,22.4,40,21.5,40,10
ISSCC,2018,2,Ali,28,15.6,41,13.5,34.7,15.8
RFIC,2018,6,Li,28,17.1,44,,,
ESSCIRC,2018,9,Yu,28,18,26.7,17.4,26.5,19
RFIC,2018,6,Li,28,17.1,44,,,
RFIC,2018,6,Li,28,17.1,44,,,
RFIC,2018,6,Li,28,17.1,44,,,
RFIC,2018,6,Li,28,17.1,44,,,
RFIC,2018,6,Li,28,17.1,44,,,
RFIC,2018,6,Li,28,17.1,44,,,
RFIC,2018,6,Li,28,17.1,44,,,
RFIC,2018,6,Li,28,17.1,44,,,
MWCL,2018,3,Rostomyan,28,22.4,40,21.5,40,10
MWCL,2018,3,Rostomyan,28,22.4,40,21.5,40,10
MWCL,2018,3,Rostomyan,28,22.4,40,21.5,40,10
RFIC,2018,6,Huang,28,26,34.1,23.2,,16.3
RFIC,2018,6,Li,28,18.6,45.7,16.6,,11.4
ESSCIRC,2018,9,Yu,28,18,26.7,17.4,26.5,19
MWCL,2019,8,Lee,28,12.2,17.8,,,14
MWCL,2019,8,Lee,28,18.5,27.3,,,18
TMTT,2019,,Li,28,18.9,43.2,16.9,18.7,18.7
TMTT,2019,,Li,28,18.6,45.7,16.6,11.4,11.4
JSSC,2019,,Li,28,17.1,43,17.1,43,
TMTT,2019,,Asbeck,28,25,29,,,
TMTT,2019,7,Huang,28,26,34.1,23.2,,16.3
RWS,2019,1,Chen,28,,38.3,20,38.1,12.9
JSSC,2019,,Li,28,17.1,43,,,
TMTT,2019,,Li,28,18.6,45.7,16.6,,11.4
TMTT,2019,7,Huang,28,26,34.1,23.2,32.8,16.3
ISSCC,2020,8,Manente,28,21.5,26,20.7,24.54,20.4
JSSC,2020,9,Celik,28,16.4,17.2,12.9,8.3,11.6
TMTT,2020,7,Fang,28,18.2,22,15.7,16.5,16.8
CICC,2020,3,Zong,28,21.7,7.1,19.1,23,27
JSSC,2020,Early access,Celik,28,15.5,12.5,12,6.5,8
ISSCC,2020,2,Wang,28,20.4,45,19.1,42.5,20.5
ISSCC,2021,2,Edgar,28,19.3,47.3,17.9,43,20
JSSC,2020,11,Asoodeh,28,23.2,35.5,22.7,34,18
TCAS II,2021,3,yu,28,17.5,27,17,27,20.4
TMTT,2021,3,Zong,28,22.5,28.5,21.1,26.6,26.1
TCAS II,2021,3,Lee,28,20,30,17.8,27,22.2
TMTT,2019,,Li,28.5,17,43.5,15.2,20,
PAWR,2019,1,Aikio,28.5,18.8,23.4,14.9,,10
IMS,2021,6,Yool,28.5,20.4,37.2,18.2,,28
CSICS,2015,9,Jayamon,29,24.5,29,21,26,13
RFIC,2017,6,Ali,29,14.8,46.4,13.2,39,10
TCAS-I,2019,2,Ali,29,14.75,46.4,13.2,40,10
TCAS-I,2019,2,Ali,29,14.75,46.4,13.2,,10
TCAS-I,2019,2,Ali,29,14.75,46.4,13.2,,10
ISSCC,2020,2,Li,29,22.7,30.6,,,30
ISSCC,2020,2,Li,29,22.7,30.6,,,30
ISSCC,2020,2,Li,29,22.7,30.6,,,30
ISSCC,2020,2,Li,29,22.7,30.6,,,30
ISSCC,2016,2,Shakib,30,14,35.5,13.2,34.3,15.7
ISSCC,2016,2,Shakib,30,15.3,36.6,14.3,35.8,16.3
ISSCC,2016,2,Shakib,30,15.3,36.6,14.3,35.8,16.3
ISSCC,2016,2,Shakib,30,15.3,36.6,14.3,35.8,16.3
ISSCC,2016,2,Shakib,30,15.3,36.6,14.3,35.8,16.3
ISSCC,2016,2,Shakib,30,15.3,36.6,14.3,35.8,16.3
JSSC,2019,,Ning,30,17,45,,,7
JSSC,2020,4,Ning,30,,50.5,17,40,7
ISSCC,2021,2,Edgar,30,18.9,48.3,18.8,44.3,20
TCAS II,2021,3,Lee,30,20,30.3,17.2,26.4,23.2
PAWR,2019,1,Esmael,30.5,16,26,13.6,21.5,10
RFIC,2018,6,Torres,31,17.9,25.5,11.6,10,32.6
RFIC,2018,6,Torres,31,17.3,24.7,15.3,21,21.9
RFIC,2017,7,Indirayanti,32,19.8,21,16,12.8,22
TCAS I,2018,4,Jia,32,15.3,32.9,12.9,20,20.8
MWCL,2019,11,Abdulaziz,32.5,12.7,38,11.9,37.4,16.9
ISSCC,2021,1,Tzu-Yuan,32.5,22,40.5,,,15
MWCL,2019,11,Abdulaziz,33,12.7,40,11.9,36.3,16.5
MWCL,2018,,Chen,34,20.7,32.7,18.5,23,19.8
TMTT,2015,1,Bhat,35,27.2,10.7,,,19.4
ISSCC,2021,2,Valdrin,36,22.6,32,19.6,30.5,18
ISSCC,2021,2,Valdrin,36,22.6,32,19.6,30.5,18
TMTT,2019,,Li,37,18.6,40.2,16.3,10.7,10.7
TMTT,2019,,Li,37,18.9,37,17,18,18
ISSCC,2020,2,Wang,37,20,38.7,18.9,37.7,20.5
IMS,2021,6,Lee,37,19.1,32,18.6,,10.7
ISSCC,2021,1,Tzu-Yuan,37.5,21.8,32.5,,,14
IMS,2019,6,Chang,38,24.8,24.3,21.7,13,17.5
IMS,2019,6,Chang,38,24.8,24.3,21.7,13,17.5
RFIC,2019,6,Park,38.5,16.8,32.9,14.9,28.8,25.8
TMTT,2019,,Li,39,18.5,41.2,16.3,10.5,10.5
TMTT,2019,,Li,39,18.9,36,17.4,15.6,15.6
IMS,2019,6,Chen,39,20.7,35,20.2,32.8,14.4
RFIC,2019,6,Dasgupta,39,26,26.6,21.5,13.6,38
TMTT,2020,6,Daneshgar,39,26,31,28.9,13.9,37
ISSCC,2020,2,Mannem,39,20.8,33.3,20.2,32.2,13.1
ISSCC,2020,2,Mannem,39,20.8,33.3,20.2,32.2,13.1
ISSCC,2020,2,Wang,39,19.1,38.6,18,37.3,20.5
TMTT,2020,6,Daneshgar,39,18.3,29.1,16.6,28.9,12.6
ISSCC,2012,2,Sarkas,40,18.5,10,,,
ICCT,2017,10,Zhang,40,14.1,13,12,9.6,7
ISSCC,2021,1,Tzu-Yuan,40,21.8,27.8,,,11
TMTT,2013,4,Dabag,41,21.6,25.1,,,8.9
TMTT,2012,6,Agah,42,18,23,,,7
JSSC,2013,6,Agah,42,18,20,13,21,8
TMTT,2020,4,Chappidi,42,20,24,19.1,,15.6
ISSCC,2020,2,Wang,42,17.9,35,15.7,30.4,20.5
TMTT,2015,1,Bhat,42.5,23.4,6.7,,,
TMTT,2015,1,Bhat,42.5,23.4,6.7,,,11.9
RFIC,2017,6,Vigilante,43,16.6,24.2,13.4,12.6,20.8
RFIC,2017,6,Vigilante,43,16.6,24.2,13.4,12.6,20.8
RFIC,2017,6,Vigilante,43,16.6,24.2,13.4,12.6,20.8
RFIC,2017,6,Vigilante,43,16.6,24.2,13.4,12.6,20.8
RFIC,2017,6,Vigilante,43,16.6,24.2,13.4,12.6,20.8
CSICS,2011,10,Pornpromlikit,45,19,22,,,7.4
CSICS,2011,10,Pornpromlikit,45,18.2,23,,,8
CSICS,2011,10,Pornpromlikit,45,16.8,20,,,7.1
RFIC,2012,6,Agah,45,19.4,33.9,,,9.5
ISSCC,2012,2,Sarkas,45,22,15.8,,,17
TMTT,2012,6,Kim,45,16.5,23,,,22
TMTT,2012,6,Kim,45,15,27.5,,,19.5
JSSC,2013,5,Balteanu,45,24.3,14.6,,,18
JSSC,2013,5,Balteanu,45,23.5,19.6,,,18
JSSC,2013,5,Balteanu,45,22.5,19.4,,,18
IMS,2014,6,Hanafi,45,28,13.5,,,
TMTT,2013,4,Dabag,46,19.8,26.3,,,9.4
TMTT,2013,4,Dabag,46,15.9,32.7,,,9.4
TMTT,2016,7,Helmi,46,22.4,42.5,19,22.5,17.4
CICC,2012,9,Chakrabarti,47,17.6,34.6,,,13
TMTT,2014,6,Chakrabarti,47,20.1,15.4,,,24.9
TMTT,2014,6,Chakrabarti,47,17.6,34.6,,,13
CSICS,2012,10,Chakrabarti,47.5,19.1,16,,,8.2
CSICS,2012,10,Chakrabarti,47.5,17.9,25.5,,,9.8
CICC,2012,9,Chakrabarti,47.5,20.3,19.4,,,12.8
TMTT,2014,6,Chakrabarti,47.5,20.3,19.4,,,12.8
TMTT,2014,6,Chakrabarti,47.5,18.2,28.3,,,11.2
IET Microw. Antennas Propag.,2015,10,Chakrabarti,47.5,19.1,16,,,8.2
IET Microw. Antennas Propag.,2015,10,Chakrabarti,47.5,17.9,25.5,,,9.8
ESSCIRC,2014,,Zhao,50,13,16,12,,13
IMS,2014,,Helmi,50,19,28,16.3,,
IMS,2014,,Helmi,50,18,32,13.8,,
TMTT,2016,7,Helmi,50,20.6,23.8,,,19.5
TMTT,2019,1,Fang,50,17.2,17.4,13,,
TMTT,2019,1,Fang,50,17.5,20.2,13.3,,
TMTT,2019,1,Fang,50,17,14.2,11.5,,
ISSCC,2019,2,El-Aassar,50,21.5,13.4,20.8,12.5,
ISSCC,2019,,El-Aassar,50,21.5,13.4,20.8,12.5,23
JSSC,2019,12,El-Aassar,50,21.5,13.4,20.8,12.5,
IMS,2012,,Fei,52,11,7.1,9.7,,8.3
JSSC,2015,7,Bassi,53,13.3,16,12,14,13
JSSC,2015,7,Bassi,53,13.3,16,12,14,13
APMC,2017,,Chen,53,13.79,16.9,13.36,,17.79
IMS,2019,,Sun,53,22.4,19.1,19.4,,20.6
MWCL,2014,3,Lin,53.7,9.6,17.3,,,29
CICC,2010,,Pallotta,56,14,8.3,14,,7
ISSCC,2019,,Nguyen,57,21.2,21.8,20.7,20.6,13.5
ISSCC,2019,,Nguyen,57,21.2,21.8,20.7,20.6,13.5
PAWR,2014,,Lin,57.3,10.7,10,7.5,,19.8
ESSCIRC,2010,,He,58,14.8,7.1,11.8,,10.8
ESSCIRC,2010,,He,58,14,7.2,10.8,,10.2
IMS,2019,,Sun,58,22.2,17.8,19.7,,19.6
RFIC,2011,,Liu,59,14.85,16.2,13.7,13.5,9.4
IMS,2008,,Dawn,60,8.4,5.8,5.1,,17
ISSCC,2008,,Suzuki,60,10.6,5,,,8.3
ISSCC,2008,,Chowdhury,60,12.3,8.8,9,,5.6
RFIC,2008,,Wicks,60,7.8,3,7,,8.5
ISSCC,2009,,Raczkowski,60,13.8,7,11,,6
ISSCC,2009,,Raczkowski,60,10.6,6.5,8.4,,5.6
RFIC,2009,,Kurita,60,12.6,6.9,8.8,,
JSSC,2009,5,LaRocca,60,12.5,19.3,,,15
IMS,2009,,Dawn,60,12,9,8.2,,20
ISSCC,2009,,Chan,60,11.5,11,2.5,,15.8
RFIC,2009,,Bohsali,60,14.2,5.8,12.1,,4.2
RFIC,2009,,Bohsali,60,11.6,11.5,10.1,,8.2
TMTT,2009,7,Jen,60,18,12.2,14.5,,26.6
TMTT,2009,7,Jen,60,14.5,10.2,10.5,,26.1
JSSC,2009,10,Chowdhury,60,12.3,8.8,9,,5.6
JSSC,2009,10,Chowdhury,60,11,14.6,,,13.8
ISSCC,2010,,Lai,60,17.7,11.1,15.1,,19.2
JSSC,2010,3,Chan,60,11.5,15.2,,,16
JSSC,2010,7,Siligaris,60,16.5,18.2,15.2,,15
JSSC,2010,7,Siligaris,60,14.5,25.7,12.7,,16
JSSC,2010,7,Siligaris,60,10.5,22.3,7.1,,14
RFIC,2010,,Boers,60,10.6,7.7,6.8,,30
RFIC,2010,,Abbasi,60,14.5,14.4,,,20
ISSCC,2010,,Law,60,19.9,14.2,18.2,,20.6
MWCL,2011,12,Tsai,60,10.7,11.4,10.2,10.8,9.8
MWCL,2011,12,Tsai,60,10.5,10.4,7.3,5.4,11.8
MWCL,2011,7,Liu,60,11.3,9.4,10.7,,14.9
ISSCC,2011,,Chen,60,18.6,15.1,15,7.5,20.3
RFIC,2011,,Essing,60,16.3,8.7,13.2,,6
CICC,2011,,Farahabadi,60,18.3,15.9,16.9,,18.8
ASSC,2012,,Wu,60,13.2,15,10.2,,
ASSC,2012,,Wu,60,10.1,8.1,5.8,,
APMC,2012,,Chen,60,19,12.8,15.4,,24.5
APMC,2012,,Chen,60,18,13.2,14.8,,24
RFIC,2012,,Ogunnika,60,12.5,30,,,10
ESSCIRC,2012,,Zhao,60,17.4,29.3,14,,
ESSCIRC,2012,,Zhao,60,12.6,19.6,9.5,,
JSSC,2012,12,Zhao,60,15.6,25,,,
ISSCC,2012,,Zhao,60,15.6,25,,,
RFIC,2012,,Yeh,60,18.5,10.2,,,15.9
TMTT,2013,1,Fei,60,11,7.1,9.7,,8.3
IMS,2013,,Hsu,60,15.4,16,13.7,14.3,15
JSSC,2013,10,Zhao,60,17,30.3,13.8,21.6,17
TMTT,2013,3,Yeh,60,18.5,10.2,14.7,,15.7
ISSCC,2013,,Chen,60,9.6,28.5,,,
RFIC,2013,,Shirinfar,60,22.6,7,17,,29
ISSCC,2014,,Kulkarni,60,16.4,23,13.9,18.9,22.4
ESSCIRC,2014,,Larie,60,19.9,20,17.2,,32.4
IMS,2014,,Fei,60,17.2,11.3,16.6,,17.5
IMS,2014,,Guo,60,21,13.4,17.2,,16.8
RFIC,2014,,Farahabadi,60,16.8,14.5,15.5,,17.7
EuMIC,2014,,Larie,60,13,6,9.5,,13
PAWR,2014,,Lin,60,10.7,9,9,,13.2
RFIC,2014,,Hamidian,60,18,10,15,,17
MWCL,2015,1,Han,60,19.7,13.4,16,,28
MWCL,2015,1,Han,60,17.5,10.3,14.3,,26.6
MWCL,2015,2,Tseng,60,19.6,18.3,16.2,,20.3
ISSCC,2015,,Larie,60,18.9,17.7,15,9,35
ISSCC,2015,,Larie,60,18.9,21,18.2,21,15.4
ISOCC,2015,,Tan,60,14.5,11,10.8,,8.5
RFIC,2015,,Babaie,60,17.9,20.5,14.9,,21.5
IMS,2016,,Chou,60,20.6,20.3,17.6,10.4,20.1
IMS,2016,,Chou,60,19.3,19.7,15.6,8.1,19.3
VLSI,2016,5,Farahabadi,60,19.7,25,15.5,,22
VLSI,2016,5,Farahabadi,60,17.8,19,,,
MWCL,2016,8,Meng,60,8.4,8.7,5,,24.5
TMTT,2016,12,Chou,60,20.6,20.3,17.6,,20.1
TMTT,2016,12,Chou,60,19.3,19.7,15.6,,15.6
JSSC,2016,4,Khalaf,60,10.8,29.8,7.4,,24.3
ISSCC,2017,,Chi,60,27.9,23.4,25,16.2,17.4
ISSCC,2017,,Chi,60,27.9,23.4,25,16.2,17.4
RFIT,2017,,Wang,60,19.8,18.4,15.8,,24.4
TCASI,2017,6,Lin,60,13.2,20,9.7,,16
APMC,2017,,Chen,60,5.6,11,5.5,,6.5
WPTC,2017,,Chen,60,9,1.81,7.3,,6
MWCL,2018,8,Xia,60,18.5,25.5,16.2,18.7,15
IMS,2018,,Weng,60,19.1,10.5,17.7,7,17.7
IMS,2018,,Weng,60,18.9,13.9,18.9,13.9,13.1
RFIC,2019,,Nguyen,60,20.1,26,19.3,25.9,12.9
RFIC,2019,,Nguyen,60,20.1,26,19.3,25.9,12.9
ISSCC,2019,,Nguyen,60,29.1,18.4,,,23.9
ISSCC,2019,,Nguyen,60,30.1,20.8,,,24.7
ISSCC,2019,,Nguyen,60,28.5,18.9,26.5,,14.9
TMTT,2019,11,Chang,60,23.7,22.1,19.9,11.1,29.7
TMTT,2020,7,Jung,60,15,22.7,12.3,15.6,31
TCAS-II,2021,,Mosalam,60,15,26,14,,15.5
ISSCC,2010,,Martineau,60.5,18.1,3.6,11.5,,15.5
ISSCC,2010,,Martineau,60.5,16.6,4.9,11,,14.3
RFIC,2006,,Yao,61,9.3,7.4,,,5.2
RFIC,2012,,Aloui,61,15.6,6.6,13.5,,20
TCASI,2015,10,Ye,61,14.35,21.1,11.8,,20.9
EuMC,2019,10,Tanio,61,14,20.4,,,8.3
TCASI,2014,8,Thyagarajan,62,16.5,12.6,11.7,,24.4
RFIC,2013,,Fei,63,13.4,8.7,13,,13.2
MWCL,2015,7,Yeh,63,23,13.9,20.9,,17.2
TMTT,2016,7,Kulkarni,63,16.4,23,13.9,18.9,22.4
TMTT,2013,12,Hsiao,64,23.2,10,19.6,,16.3
IMS,2018,,Ning,64,18,20,15,,12
SSC-L,2020,,Cui,64,21,28.7,15.3,,31
RFIC,2011,,Wang,65,9.6,13.6,,,18.2
CICC,2015,,Zhao,65,20,22,15,,30
ISSCC,2018,,Nguyen,65,19.4,28.3,19.2,27.5,12
JSSC,2018,,Nguyen,65,19.4,28.3,19.2,27.5,12
ISSCC,2018,,Nguyen,65,19.4,28.3,19.2,27.5,12
JSSC,2018,,Nguyen,65,19.4,28.3,19.2,27.5,12
RFIC,2017,,Callender,66,7.4,8.6,5.5,,8.3
IMS,2017,,Xia,66,17.3,25,14.8,,14.5
APMC,2015,,Forsberg,67,11.8,18.5,8.4,9,16.8
ISSCC,2019,,El-Aassar,70,18.4,13.4,17.5,12.5,23
RFIC,2017,,Callender,71,7.4,8.3,1.6,,11.9
RFIC,2017,,Callender,71,7.4,8.9,2,,16.7
MWCL,2010,5,Lin,72,11.4,11,10.3,,11.3
MWCL,2010,5,Lin,72,10.4,10.7,8.9,,10.5
TMTT,2015,4,Kaymaksut,72,21,13.5,19.2,12.4,18.5
TMTT,2015,12,Zhao,73,22.6,19.3,18.9,,25.3
TMTT,2015,12,Zhao,73,22.6,19.3,18.9,,25.3
RFIC,2019,,Chen,73,14.3,22.4,12,13.4,31
APMC,2019,11,Lv,73,15.6,17,12.6,,22
